"MEMBERS’ ROLES AND COMMITTEE MEMBERSHIPS AS OF 2019.09.05",

SPEAKER AND OTHER PRESIDING OFFICERS
"Name","Title",
"Regan, Geoff (Hon.)","Speaker of the House",
"Stanton, Bruce","Deputy Speaker and Chair of the Committees of the Whole",
"Hughes, Carol","Deputy Chair Of Committees of the Whole",
"Rota, Anthony","Assistant Deputy Chair Of Committees of the Whole",


BOARD OF INTERNAL ECONOMY
"Name","Title",
"Regan, Geoff (Hon.)","Board of Internal Economy Chair",
"Bergen, Candice (Hon.)","Board of Internal Economy Member",
"Chagger, Bardish (Hon.)","Board of Internal Economy Member",
"Holland, Mark (Hon.)","Board of Internal Economy Member",
"Julian, Peter","Board of Internal Economy Member",
"Rodriguez, Pablo (Hon.)","Board of Internal Economy Member",
"Strahl, Mark","Board of Internal Economy Member",


HOUSE OFFICERS
"Name","Title","Political Affiliation",
"Regan, Geoff (Hon.)","Speaker","Liberal",
"Stanton, Bruce","Deputy Speaker and Chair of Committees of the Whole","Conservative",
"Hughes, Carol","Assistant Deputy Speaker and Deputy Chair of Committees of the Whole","NDP",
"Rota, Anthony","Assistant Deputy Speaker and Assistant Deputy Chair of Committees of the Whole","Liberal",
"Scheer, Andrew (Hon.)","Leader of the Conservative Party of Canada","Conservative",
"Singh, Jagmeet","Leader of the New Democratic Party","NDP",
"Trudeau, Justin (Right Hon.)","Leader of the Liberal Party","Liberal",
"Bergen, Candice (Hon.)","House Leader of the Official Opposition","Conservative",
"Julian, Peter","House Leader of the New Democratic Party","NDP",
"Brosseau, Ruth Ellen","Whip of the New Democratic Party","NDP",
"Holland, Mark (Hon.)","Chief Government Whip","Liberal",
"Strahl, Mark","Chief Opposition Whip","Conservative",
"Dubé, Matthew","Caucus Chair","NDP",
"Scarpaleggia, Francis","Caucus Chair","Liberal",
"Sweet, David","Caucus Chair","Conservative",


MEMBERS OF THE HOUSE OF COMMONS
"Name","Constituency","Province","Political Affiliation",
"Young, Kate","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Ashton, Niki","Associate Member",
"Barrett, Michael","Associate Member",
"Benson, Sheri","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Cannings, Richard","Associate Member",
"Caron, Guy","Associate Member",
"Carrie, Colin","Associate Member",
"Casey, Sean","Associate Member",
"Chen, Shaun","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Cormier, Serge","Associate Member",
"Cuzner, Rodger","Associate Member",
"Dabrusin, Julie","Associate Member",
"Davidson, Scot","Associate Member",
"DeCourcey, Matt","Associate Member",
"Deltell, Gérard","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Duguid, Terry","Associate Member",
"Duvall, Scott","Associate Member",
"Eglinski, Jim","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Kwan, Jenny","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Lauzon, Stéphane","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacGregor, Alistair","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Mendicino, Marco","Associate Member",
"Miller, Larry","Associate Member",
"Moore, Christine","Associate Member",
"Motz, Glen","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Connell, Jennifer","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Quach, Anne Minh-Thu","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Rudd, Kim","Associate Member",
"Saroya, Bob","Associate Member",
"Scarpaleggia, Francis","Associate Member",
"Schmale, Jamie","Associate Member",
"Sgro, Judy A. (Hon.)","Associate Member",
"Shanahan, Brenda","Associate Member",
"Sheehan, Terry","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorbara, Francesco","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Trudel, Karine","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vaughan, Adam","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SHUM)
"Name","Title",
"May, Bryan","Chair",
"Barlow, John","Member",
"Ruimy, Dan","Member",
"Sangha, Ramesh","Member",
"Sansoucy, Brigitte","Member",


Indigenous and Northern Affairs (INAN)
"Name","Title",
"Mihychuk, MaryAnn (Hon.)","Chair",
"Blaney, Rachel","Vice-Chair",
"McLeod, Cathy","Vice-Chair",
"Amos, William","Member",
"Bossio, Mike","Member",
"Harvey, T.J.","Member",
"Robillard, Yves","Member",
"Rusnak, Don","Member",
"Viersen, Arnold","Member",
"Waugh, Kevin","Member",
"Jones, Yvonne","Parliamentary Secretary — Non-Voting Member",
"Miller, Marc","Parliamentary Secretary — Non-Voting Member",
"Vandal, Dan","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Angus, Charlie","Associate Member",
"Arnold, Mel","Associate Member",
"Ashton, Niki","Associate Member",
"Bagnell, Larry (Hon.)","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Cullen, Nathan","Associate Member",
"Damoff, Pam","Associate Member",
"Davidson, Scot","Associate Member",
"DeCourcey, Matt","Associate Member",
"Deltell, Gérard","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Duncan, Linda","Associate Member",
"Eglinski, Jim","Associate Member",
"Eyolfson, Doug","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hoback, Randy","Associate Member",
"Hughes, Carol","Associate Member",
"Jeneroux, Matt","Associate Member",
"Johns, Gord","Associate Member",
"Jolibois, Georgina","Associate Member",
"Jones, Yvonne","Associate Member",
"Jordan, Bernadette (Hon.)","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Kwan, Jenny","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacGregor, Alistair","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"Miller, Larry","Associate Member",
"Moore, Christine","Associate Member",
"Motz, Glen","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Ouellette, Robert-Falcon","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Stetski, Wayne","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vaughan, Adam","Associate Member",
"Vecchio, Karen","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Webber, Len","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SINA)
"Name","Title",
"Mihychuk, MaryAnn (Hon.)","Chair",
"Anandasangaree, Gary","Member",
"Bossio, Mike","Member",
"McLeod, Cathy","Member",


Industry, Science and Technology (INDU)
"Name","Title",
"Ruimy, Dan","Chair",
"Albas, Dan","Vice-Chair",
"Masse, Brian","Vice-Chair",
"Chong, Michael (Hon.)","Member",
"Graham, David de Burgh","Member",
"Jowhari, Majid","Member",
"Lloyd, Dane","Member",
"Longfield, Lloyd","Member",
"Oliver, John","Member",
"Sheehan, Terry","Member",
"Hébert, Richard","Parliamentary Secretary — Non-Voting Member",
"Lockhart, Alaina","Parliamentary Secretary — Non-Voting Member",
"Massé, Rémi","Parliamentary Secretary — Non-Voting Member",
"Serré, Marc","Parliamentary Secretary — Non-Voting Member",
"Young, Kate","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albrecht, Harold","Associate Member",
"Alghabra, Omar","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Badawey, Vance","Associate Member",
"Bagnell, Larry (Hon.)","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Beech, Terry","Associate Member",
"Benson, Sheri","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boissonnault, Randy","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Champagne, François-Philippe (Hon.)","Associate Member",
"Christopherson, David","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Di Iorio, Nicola","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Drouin, Francis","Associate Member",
"Duguid, Terry","Associate Member",
"Duncan, Linda","Associate Member",
"Duvall, Scott","Associate Member",
"Easter, Wayne (Hon.)","Associate Member",
"Eglinski, Jim","Associate Member",
"Ellis, Neil","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Fergus, Greg","Associate Member",
"Fillmore, Andy","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Finnigan, Pat","Associate Member",
"Fuhr, Stephen","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Harvey, T.J.","Associate Member",
"Hoback, Randy","Associate Member",
"Hutchings, Gudie","Associate Member",
"Iacono, Angelo","Associate Member",
"Jeneroux, Matt","Associate Member",
"Johns, Gord","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Khera, Kamal","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lametti, David (Hon.)","Associate Member",
"Lapointe, Linda","Associate Member",
"Lauzon, Guy","Associate Member",
"Lauzon, Stéphane","Associate Member",
"Lefebvre, Paul","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Lemieux, Denis","Associate Member",
"Liepert, Ron","Associate Member",
"Lobb, Ben","Associate Member",
"Ludwig, Karen","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"MacKinnon, Steven","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"Massé, Rémi","Associate Member",
"May, Bryan","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McCrimmon, Karen","Associate Member",
"McGuinty, David (Hon.)","Associate Member",
"McLeod, Cathy","Associate Member",
"Miller, Larry","Associate Member",
"Morrissey, Robert","Associate Member",
"Motz, Glen","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Peterson, Kyle","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Rota, Anthony","Associate Member",
"Rudd, Kim","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Schulte, Deborah","Associate Member",
"Serré, Marc","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorbara, Francesco","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tabbara, Marwan","Associate Member",
"Tan, Geng","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Trudel, Karine","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Whalen, Nick","Associate Member",
"Wilkinson, Jonathan (Hon.)","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zahid, Salma","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SIND)
"Name","Title",
"Ruimy, Dan","Chair",
"Albas, Dan","Member",
"Graham, David de Burgh","Member",
"Longfield, Lloyd","Member",
"Masse, Brian","Member",


International Trade (CIIT)
"Name","Title",
"Eyking, Mark (Hon.)","Chair",
"Allison, Dean","Vice-Chair",
"Ramsey, Tracey","Vice-Chair",
"Carrie, Colin","Member",
"Dhaliwal, Sukh","Member",
"Fonseca, Peter","Member",
"Hoback, Randy","Member",
"Ludwig, Karen","Member",
"Peterson, Kyle","Member",
"Sheehan, Terry","Member",
"Alghabra, Omar","Parliamentary Secretary — Non-Voting Member",
"Hébert, Richard","Parliamentary Secretary — Non-Voting Member",
"Oliphant, Robert","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alleslev, Leona","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Arya, Chandra","Associate Member",
"Ashton, Niki","Associate Member",
"Aubin, Robert","Associate Member",
"Ayoub, Ramez","Associate Member",
"Badawey, Vance","Associate Member",
"Barlow, John","Associate Member",
"Barrett, Michael","Associate Member",
"Beech, Terry","Associate Member",
"Benson, Sheri","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaney, Rachel","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Boulerice, Alexandre","Associate Member",
"Brassard, John","Associate Member",
"Bratina, Bob","Associate Member",
"Breton, Pierre","Associate Member",
"Brosseau, Ruth Ellen","Associate Member",
"Calkins, Blaine","Associate Member",
"Cannings, Richard","Associate Member",
"Caron, Guy","Associate Member",
"Casey, Bill","Associate Member",
"Champagne, François-Philippe (Hon.)","Associate Member",
"Chen, Shaun","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Cullen, Nathan","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Di Iorio, Nicola","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Easter, Wayne (Hon.)","Associate Member",
"Eglinski, Jim","Associate Member",
"Ehsassi, Ali","Associate Member",
"El-Khoury, Fayçal","Associate Member",
"Ellis, Neil","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Harvey, T.J.","Associate Member",
"Holland, Mark (Hon.)","Associate Member",
"Jeneroux, Matt","Associate Member",
"Johns, Gord","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Kwan, Jenny","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lametti, David (Hon.)","Associate Member",
"Lamoureux, Kevin","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Liepert, Ron","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Long, Wayne","Associate Member",
"Longfield, Lloyd","Associate Member",
"Lukiwski, Tom","Associate Member",
"MacKenzie, Dave","Associate Member",
"Maguire, Larry","Associate Member",
"Martel, Richard","Associate Member",
"Masse, Brian","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McLeod, Cathy","Associate Member",
"Mendicino, Marco","Associate Member",
"Miller, Larry","Associate Member",
"Motz, Glen","Associate Member",
"Nantel, Pierre","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"Oliver, John","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paradis, Denis (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Raitt, Lisa (Hon.)","Associate Member",
"Ratansi, Yasmin","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Rodriguez, Pablo (Hon.)","Associate Member",
"Rudd, Kim","Associate Member",
"Saganash, Romeo","Associate Member",
"Saroya, Bob","Associate Member",
"Schmale, Jamie","Associate Member",
"Shields, Martin","Associate Member",
"Shipley, Bev","Associate Member",
"Sikand, Gagan","Associate Member",
"Sopuck, Robert","Associate Member",
"Sorbara, Francesco","Associate Member",
"Sorenson, Kevin (Hon.)","Associate Member",
"Stanton, Bruce","Associate Member",
"Strahl, Mark","Associate Member",
"Stubbs, Shannon","Associate Member",
"Sweet, David","Associate Member",
"Tan, Geng","Associate Member",
"Tilson, David","Associate Member",
"Trost, Brad","Associate Member",
"Trudel, Karine","Associate Member",
"Van Kesteren, Dave","Associate Member",
"Vecchio, Karen","Associate Member",
"Viersen, Arnold","Associate Member",
"Wagantall, Cathay","Associate Member",
"Warawa, Mark","Associate Member",
"Warkentin, Chris","Associate Member",
"Waugh, Kevin","Associate Member",
"Webber, Len","Associate Member",
"Whalen, Nick","Associate Member",
"Wong, Alice (Hon.)","Associate Member",
"Yurdiga, David","Associate Member",
"Zimmer, Bob","Associate Member",


Subcommittee on Agenda and Procedure (SCII)
"Name","Title",
"Eyking, Mark (Hon.)","Chair",
"Allison, Dean","Member",
"Ludwig, Karen","Member",
"Peterson, Kyle","Member",
"Ramsey, Tracey","Member",


Justice and Human Rights (JUST)
"Name","Title",
"Housefather, Anthony","Chair",
"Raitt, Lisa (Hon.)","Vice-Chair",
"Ramsey, Tracey","Vice-Chair",
"Barrett, Michael","Member",
"Boissonnault, Randy","Member",
"Ehsassi, Ali","Member",
"Fraser, Colin","Member",
"Khalid, Iqra","Member",
"MacKenzie, Dave","Member",
"McKinnon, Ron","Member",
"Virani, Arif","Parliamentary Secretary — Non-Voting Member",
"Aboultaif, Ziad","Associate Member",
"Albas, Dan","Associate Member",
"Albrecht, Harold","Associate Member",
"Alghabra, Omar","Associate Member",
"Alleslev, Leona","Associate Member",
"Allison, Dean","Associate Member",
"Amos, William","Associate Member",
"Anandasangaree, Gary","Associate Member",
"Anderson, David","Associate Member",
"Arnold, Mel","Associate Member",
"Arseneault, René","Associate Member",
"Barlow, John","Associate Member",
"Benson, Sheri","Associate Member",
"Benzen, Bob","Associate Member",
"Bergen, Candice (Hon.)","Associate Member",
"Berthold, Luc","Associate Member",
"Bezan, James","Associate Member",
"Blaikie, Daniel","Associate Member",
"Blair, Bill (Hon.)","Associate Member",
"Blaney, Steven (Hon.)","Associate Member",
"Block, Kelly","Associate Member",
"Boucher, Sylvie","Associate Member",
"Brassard, John","Associate Member",
"Calkins, Blaine","Associate Member",
"Carrie, Colin","Associate Member",
"Casey, Sean","Associate Member",
"Chong, Michael (Hon.)","Associate Member",
"Clarke, Alupa","Associate Member",
"Cooper, Michael","Associate Member",
"Davidson, Scot","Associate Member",
"Deltell, Gérard","Associate Member",
"Dhillon, Anju","Associate Member",
"Di Iorio, Nicola","Associate Member",
"Diotte, Kerry","Associate Member",
"Doherty, Todd","Associate Member",
"Dreeshen, Earl","Associate Member",
"Eglinski, Jim","Associate Member",
"Erskine-Smith, Nathaniel","Associate Member",
"Falk, Rosemarie","Associate Member",
"Falk, Ted","Associate Member",
"Fast, Ed (Hon.)","Associate Member",
"Finley, Diane (Hon.)","Associate Member",
"Fraser, Sean","Associate Member",
"Fry, Hedy (Hon.)","Associate Member",
"Gallant, Cheryl","Associate Member",
"Garrison, Randall","Associate Member",
"Généreux, Bernard","Associate Member",
"Genuis, Garnett","Associate Member",
"Gladu, Marilyn","Associate Member",
"Godin, Joël","Associate Member",
"Gourde, Jacques","Associate Member",
"Harder, Rachael","Associate Member",
"Hardie, Ken","Associate Member",
"Hoback, Randy","Associate Member",
"Jeneroux, Matt","Associate Member",
"Julian, Peter","Associate Member",
"Kelly, Pat","Associate Member",
"Kenney, Jason (Hon.)","Associate Member",
"Kent, Peter (Hon.)","Associate Member",
"Kitchen, Robert","Associate Member",
"Kmiec, Tom","Associate Member",
"Kusie, Stephanie","Associate Member",
"Kwan, Jenny","Associate Member",
"Lake, Mike (Hon.)","Associate Member",
"Lametti, David (Hon.)","Associate Member",
"Lauzon, Guy","Associate Member",
"Leitch, K. Kellie (Hon.)","Associate Member",
"Levitt, Michael","Associate Member",
"Liepert, Ron","Associate Member",
"Lightbound, Joël","Associate Member",
"Lloyd, Dane","Associate Member",
"Lobb, Ben","Associate Member",
"Lukiwski, Tom","Associate Member",
"Maguire, Larry","Associate Member",
"Maloney, James","Associate Member",
"Martel, Richard","Associate Member",
"McCauley, Kelly","Associate Member",
"McColeman, Phil","Associate Member",
"McCrimmon, Karen","Associate Member",
"McLeod, Cathy","Associate Member",
"McLeod, Michael","Associate Member",
"Mendicino, Marco","Associate Member",
"Miller, Larry","Associate Member",
"Miller, Marc","Associate Member",
"Motz, Glen","Associate Member",
"Nater, John","Associate Member",
"Nicholson, Rob (Hon.)","Associate Member",
"Nuttall, Alexander","Associate Member",
"Obhrai, Deepak (Hon.)","Associate Member",
"Oliphant, Robert","Associate Member",
"O'Toole, Erin (Hon.)","Associate Member",
"Paradis, Denis (Hon.)","Associate Member",
"Paul-Hus, Pierre","Associate Member",
"Poilievre, Pierre (Hon.)","Associate Member",
"Rayes, Alain","Associate Member",
"Reid, Scott","Associate Member",
"Rempel, Michelle (Hon.)","Associate Member",
"Richards, Blake","Associate Member",
"Ruimy, Dan","Associate Member",
"Rusnak, Don","Associate Member",
